StandardizedFlow,SurvivalSD
-1.210622711,0.060046571
-1.079801151,0.058518898
-0.818158032,0.055563247
-0.556514914,0.052759035
-0.294871795,0.050131682
-0.033228676,0.047710416
0.228414443,0.045528128
0.490057561,0.043620701
0.75170068,0.042025576
1.013343799,0.04077942
1.274986918,0.039914928
1.536630037,0.039457196
1.798273155,0.039420396
2.059916274,0.039805695
2.321559393,0.040601078
2.583202512,0.041783132
2.844845631,0.043320217
3.106488749,0.045176108
3.368131868,0.047313303
3.629774987,0.049695523
3.891418106,0.052289289
4.153061224,0.055064717
4.414704343,0.05799573
4.676347462,0.061059928
4.937990581,0.064238255
5.1996337,0.067514594
5.461276818,0.070875354
5.722919937,0.074309082
5.984563056,0.077806118
6.246206175,0.081358299
6.507849294,0.084958707
6.769492412,0.088601465
7.031135531,0.092281556
7.29277865,0.095994688
7.554421769,0.09973717
7.816064887,0.103505819
8.077708006,0.107297876
8.339351125,0.111110947
8.600994244,0.114942939
8.862637363,0.118792022
9.124280481,0.122656585
9.3859236,0.126535212
9.647566719,0.130426648
9.909209838,0.134329778
10.17085296,0.138243613
10.43249608,0.142167269
10.69413919,0.146099954
10.95578231,0.150040959
11.21742543,0.153989644
11.47906855,0.157945433
11.74071167,0.161907806
12.00235479,0.165876292
12.26399791,0.169850461
12.52564103,0.173829924
12.78728414,0.177814325
13.04892726,0.181803339
13.31057038,0.18579667
13.5722135,0.189794046
13.83385662,0.193795215
14.09549974,0.197799947
14.35714286,0.201808031
14.61878598,0.205819271
14.88042909,0.209833485
15.14207221,0.213850507
15.40371533,0.21787018
15.66535845,0.221892361
15.92700157,0.225916916
16.18864469,0.22994372
16.45028781,0.233972657
16.71193093,0.238003618
16.97357405,0.242036503
17.23521716,0.246071218
17.49686028,0.250107672
17.7585034,0.254145785
18.02014652,0.258185477
18.28178964,0.262226675
18.54343276,0.266269312
18.80507588,0.270313323
19.066719,0.274358646
19.32836211,0.278405225
19.59000523,0.282453006
19.85164835,0.286501937
20.11329147,0.290551971
20.37493459,0.294603062
20.63657771,0.298655168
20.89822083,0.302708247
21.15986395,0.30676226
21.42150706,0.310817172
21.68315018,0.314872947
21.9447933,0.318929554
22.20643642,0.322986959
22.46807954,0.327045134
22.72972266,0.33110405
22.99136578,0.335163681
23.2530089,0.339224
23.51465201,0.343284983
23.77629513,0.347346608
24.03793825,0.351408851
24.29958137,0.355471691
24.56122449,0.359535109
24.82286761,0.363599085
