Flow,SpeedSD
353.1466621,8.503557219
706.2933243,8.401805743
1059.439986,8.315398501
1412.586649,8.244817939
1765.733311,8.19047322
2118.879973,8.15268903
2472.026635,8.131696218
2825.173297,8.127624897
3178.319959,8.140500455
3531.466621,8.170242774
3884.613283,8.216668693
4237.759946,8.279497568
4590.906608,8.358359507
4944.05327,8.452805773
5297.199932,8.562320676
5650.346594,8.686334289
6003.493256,8.824235352
6356.639918,8.975383769
6709.78658,9.139122288
7062.933243,9.314786992
7416.079905,9.501716441
7769.226567,9.699259357
8122.373229,9.906780856
8475.519891,10.12366732
8828.666553,10.34932998
9181.813215,10.58320746
9534.959877,10.82476732
9888.10654,11.07350681
10241.2532,11.32895302
10594.39986,11.59066255
10947.54653,11.8582207
11300.69319,12.1312405
11653.83985,12.40936147
12006.98651,12.69224827
12360.13317,12.97958931
12713.27984,13.27109524
13066.4265,13.56649761
13419.57316,13.86554738
13772.71982,14.16801358
14125.86649,14.47368204
14479.01315,14.7823541
14832.15981,15.0938455
15185.30647,15.40798524
15538.45313,15.7246146
15891.5998,16.04358619
16244.74646,16.36476305
16597.89312,16.68801783
16951.03978,17.01323212
17304.18644,17.34029564
17657.33311,17.66910572
18010.47977,17.99956664
18363.62643,18.33158912
18716.77309,18.66508982
19069.91975,18.99999091
19423.06642,19.33621962
19776.21308,19.67370789
20129.35974,20.01239198
20482.5064,20.35221221
20835.65307,20.6931126
21188.79973,21.03504063
21541.94639,21.37794699
21895.09305,21.72178536
22248.23971,22.06651216
22601.38638,22.41208639
22954.53304,22.75846946
23307.6797,23.10562499
23660.82636,23.45351868
24013.97302,23.80211815
24367.11969,24.15139286
24720.26635,24.50131391
25073.41301,24.85185401
25426.55967,25.20298733
25779.70634,25.55468942
26132.853,25.90693711
26485.99966,26.25970844
26839.14632,26.61298259
27192.29298,26.96673981
27545.43965,27.32096131
27898.58631,27.67562929
28251.73297,28.03072679
28604.87963,28.38623769
28958.02629,28.74214665
29311.17296,29.09843906
29664.31962,29.45510102
30017.46628,29.81211925
30370.61294,30.16948111
30723.75961,30.52717453
31076.90627,30.885188
31430.05293,31.2435105
31783.19959,31.60213153
32136.34625,31.96104103
32489.49292,32.32022941
32842.63958,32.67968746
33195.78624,33.03940637
33548.9329,33.39937773
33902.07956,33.75959346
34255.22623,34.12004581
34608.37289,34.48072737
34961.51955,34.84163101
35314.66621,35.20274992
35667.81287,35.56407752
36020.95954,35.92560753
36374.1062,36.28733388
36727.25286,36.64925078
37080.39952,37.01135263
37433.54619,37.37363405
37786.69285,37.73608988
38139.83951,38.09871512
38492.98617,38.461505
38846.13283,38.8244549
39199.2795,39.18756037
39552.42616,39.55081712
39905.57282,39.91422103
40258.71948,40.27776811
40611.86614,40.64145453
40965.01281,41.00527656
41318.15947,41.36923064
41671.30613,41.73331331
42024.45279,42.09752124
42377.59946,42.46185119
42730.74612,42.82630006
43083.89278,43.19086484
43437.03944,43.55554262
43790.1861,43.92033057
44143.33277,44.28522598
44496.47943,44.65022622
44849.62609,45.01532873
45202.77275,45.38053105
45555.91941,45.74583078
45909.06608,46.11122561
46262.21274,46.47671329
46615.3594,46.84229167
46968.50606,47.20795861
47321.65272,47.57371209
47674.79939,47.93955013
48027.94605,48.3054708
48381.09271,48.67147223
48734.23937,49.03755263
49087.38604,49.40371023
49440.5327,49.76994333
49793.67936,50.13625028
50146.82602,50.50262947
50499.97268,50.86907933
50853.11935,51.23559836
51206.26601,51.60218508
51559.41267,51.96883805
51912.55933,52.33555588
52265.70599,52.70233723
52618.85266,53.06918077
52971.99932,53.43608522
53325.14598,53.80304933
53678.29264,54.1700719
54031.43931,54.53715174
54384.58597,54.9042877
54737.73263,55.27147867
55090.87929,55.63872356
55444.02595,56.0060213
55797.17262,56.37337087
56150.31928,56.74077125
56503.46594,57.10822147
56856.6126,57.47572056
57209.75926,57.84326761
57562.90593,58.21086169
57916.05259,58.57850193
58269.19925,58.94618746
58622.34591,59.31391744
58975.49258,59.68169105
59328.63924,60.04950748
59681.7859,60.41736595
60034.93256,60.7852657
60388.07922,61.15320599
60741.22589,61.52118609
61094.37255,61.88920528
61447.51921,62.25726288
61800.66587,62.6253582
62153.81253,62.99349059
62506.9592,63.3616594
62860.10586,63.729864
63213.25252,64.09810377
63566.39918,64.46637811
63919.54584,64.83468643
64272.69251,65.20302815
64625.83917,65.57140271
64978.98583,65.93980957
65332.13249,66.30824817
65685.27916,66.676718
66038.42582,67.04521855
66391.57248,67.4137493
66744.71914,67.78230977
67097.8658,68.15089946
67451.01247,68.51951792
67804.15913,68.88816468
68157.30579,69.25683929
68510.45245,69.6255413
68863.59911,69.99427029
69216.74578,70.36302582
69569.89244,70.73180748
69923.0391,71.10061487
70276.18576,71.46944759
70629.33243,71.83830525
70982.47909,72.20718746
71335.62575,72.57609386
71688.77241,72.94502406
72041.91907,73.31397773
72395.06574,73.68295449
72748.2124,74.05195401
73101.35906,74.42097595
73454.50572,74.79001998
73807.65238,75.15908577
74160.79905,75.528173
74513.94571,75.89728136
74867.09237,76.26641054
75220.23903,76.63556025
75573.3857,77.00473018
75926.53236,77.37392005
76279.67902,77.74312957
76632.82568,78.11235847
76985.97234,78.48160646
77339.11901,78.85087329
77692.26567,79.22015869
78045.41233,79.5894624
78398.55899,79.95878417
78751.70565,80.32812375
79104.85232,80.69748089
79457.99898,81.06685535
79811.14564,81.4362469
80164.2923,81.80565531
80517.43896,82.17508035
