StandardizedFlow,SurvivalSD
-1.210622711,0.304656235
-1.079801151,0.297251243
-0.818158032,0.283003873
-0.556514914,0.269605122
-0.294871795,0.257187656
-0.033228676,0.24590018
0.228414443,0.235904951
0.490057561,0.227372454
0.75170068,0.220472581
1.013343799,0.215362309
1.274986918,0.212170989
1.536630037,0.210985716
1.798273155,0.211840165
2.059916274,0.214709986
2.321559393,0.219516149
2.583202512,0.226135227
2.844845631,0.234413696
3.106488749,0.244182842
3.368131868,0.25527158
3.629774987,0.267515864
3.891418106,0.280764554
4.153061224,0.294882301
4.414704343,0.309750299
4.676347462,0.32526568
4.937990581,0.341340178
5.1996337,0.357898465
5.461276818,0.374876438
5.722919937,0.392219602
5.984563056,0.409881602
6.246206175,0.427822953
6.507849294,0.446009943
6.769492412,0.464413715
7.031135531,0.48300949
7.29277865,0.501775922
7.554421769,0.520694558
7.816064887,0.539749395
8.077708006,0.558926503
8.339351125,0.578213715
8.600994244,0.597600372
8.862637363,0.617077101
9.124280481,0.636635635
9.3859236,0.65626866
9.647566719,0.675969685
9.909209838,0.695732935
10.17085296,0.715553252
10.43249608,0.735426023
10.69413919,0.755347109
10.95578231,0.775312784
11.21742543,0.79531969
11.47906855,0.815364793
11.74071167,0.835445344
12.00235479,0.855558845
12.26399791,0.875703027
12.52564103,0.89587582
12.78728414,0.916075334
13.04892726,0.93629984
13.31057038,0.956547752
13.5722135,0.976817615
13.83385662,0.99710809
14.09549974,1.017417944
14.35714286,1.037746039
14.61878598,1.058091323
14.88042909,1.078452825
15.14207221,1.098829642
15.40371533,1.119220938
15.66535845,1.139625936
15.92700157,1.160043912
16.18864469,1.180474193
16.45028781,1.200916152
16.71193093,1.221369201
16.97357405,1.241832794
17.23521716,1.262306416
17.49686028,1.282789588
17.7585034,1.30328186
18.02014652,1.323782809
18.28178964,1.344292038
18.54343276,1.364809174
18.80507588,1.385333865
19.066719,1.405865781
19.32836211,1.426404609
19.59000523,1.446950055
19.85164835,1.467501842
20.11329147,1.488059706
20.37493459,1.508623399
20.63657771,1.529192686
20.89822083,1.549767345
21.15986395,1.570347163
21.42150706,1.590931941
21.68315018,1.611521489
21.9447933,1.632115627
22.20643642,1.652714181
22.46807954,1.673316991
22.72972266,1.6939239
22.99136578,1.71453476
23.2530089,1.735149431
23.51465201,1.755767778
23.77629513,1.776389674
24.03793825,1.797014996
24.29958137,1.817643627
24.56122449,1.838275457
24.82286761,1.858910379
