Flow,SpeedSD
1765.733311,3.186492221
3531.466621,3.128820415
5297.199932,3.092586902
7062.933243,3.07854874
8828.666553,3.087008744
10594.39986,3.117783774
12360.13317,3.170224027
14125.86649,3.243278764
15891.5998,3.335593792
17657.33311,3.445621393
19423.06642,3.571725026
21188.79973,3.712266772
22954.53304,3.865672198
24720.26635,4.030472745
26485.99966,4.205328951
28251.73297,4.389039151
30017.46628,4.580538155
31783.19959,4.77888972
33548.9329,4.983275646
35314.66621,5.192983478
37080.39952,5.407394076
38846.13283,5.625969784
40611.86614,5.848243615
42377.59946,6.073809577
44143.33277,6.302314196
45909.06608,6.533449144
47674.79939,6.766944897
49440.5327,7.002565302
51206.26601,7.240102929
52971.99932,7.479375112
54737.73263,7.720220577
56503.46594,7.962496561
58269.19925,8.206076361
60034.93256,8.450847239
61800.66587,8.696708625
63566.39918,8.943570584
65332.13249,9.191352497
67097.8658,9.439981922
68863.59911,9.689393619
70629.33243,9.939528699
72395.06574,10.19033389
74160.79905,10.44176091
75926.53236,10.6937659
77692.26567,10.94630894
79457.99898,11.19935363
81223.73229,11.45286671
82989.4656,11.70681777
84755.19891,11.9611789
86520.93222,12.21592449
88286.66553,12.47103097
90052.39884,12.72647665
91818.13215,12.98224151
93583.86546,13.23830703
95349.59877,13.49465612
97115.33208,13.7512729
98881.0654,14.00814267
100646.7987,14.26525176
102412.532,14.52258746
104178.2653,15.27496936
105943.9986,15.48331743
107709.7319,15.69268184
109475.4653,15.90302245
111241.1986,16.11430103
